Rank,Year,Player,Total_Win%,Total_Win,Total_Loss,Reg_Win,Playoff_Win,Champ
1,2020,Alex,65.2,45,24,43,2,True
2,2018,Alex,55.2,37,29,36,1,False
3,2023,Alex,51.9,27,25,27,0,False
4,2021,Alex,51.4,36,33,36,0,False
5,2019,Alex,48.5,33,34,31,2,False
6,2017,Alex,47.8,33,36,30,3,False
1,2018,Brandon,61.4,43,27,40,3,True
2,2017,Brandon,55.4,36,29,36,0,False
3,2021,Brandon,54.2,39,33,37,2,False
4,2023,Brandon,51.9,27,25,27,0,False
5,2019,Brandon,48.5,32,34,31,1,False
5,2020,Brandon,48.5,32,34,31,1,False
1,2021,Dan,62.5,45,27,44,1,True
2,2017,Dan,55.2,37,30,36,1,False
3,2019,Dan,50.7,34,33,33,1,False
4,2018,Dan,47.8,32,35,31,1,False
5,2023,Dan,46.2,24,28,24,0,False
6,2020,Dan,34.4,22,41,22,0,False
1,2017,JP,55.2,37,30,36,1,False
1,2019,JP,55.2,37,30,36,1,False
2,2020,JP,52.2,36,33,32,4,False
3,2023,JP,50.0,26,26,26,0,False
4,2021,JP,48.6,34,36,33,1,False
5,2018,JP,40.6,26,37,26,0,False
1,2017,Jackson,60.0,42,28,38,4,True
2,2019,Jackson,58.5,38,27,38,0,False
3,2020,Jackson,58.0,40,29,37,3,False
4,2021,Jackson,52.8,38,34,36,2,False
5,2023,Jackson,51.9,27,25,27,0,False
6,2018,Jackson,43.9,29,37,28,1,False
1,2019,Jordan,59.7,43,28,37,6,True
2,2020,Jordan,56.5,39,29,37,2,False
3,2023,Jordan,51.9,27,25,27,0,False
4,2018,Jordan,50.7,34,32,33,1,False
5,2021,Jordan,50.0,36,36,32,4,False
6,2017,Jordan,40.6,26,38,26,0,False
1,2017,Leftover,38.2,26,42,24,2,False
2,2018,Leftover,34.4,22,41,22,0,False
3,2021,Leftover,31.9,23,48,20,3,False
4,2019,Leftover,29.7,19,45,19,0,False
5,2020,Leftover,23.4,15,49,15,0,False
1,2018,Mike,60.9,42,27,38,4,False
2,2020,Mike,58.2,39,28,38,1,False
3,2021,Mike,47.1,33,37,33,0,False
4,2017,Mike,46.9,30,34,30,0,False
5,2019,Mike,46.2,30,35,30,0,False
6,2023,Mike,42.3,22,30,22,0,False
1,2023,Victoria,53.8,28,24,28,0,False
