Player,Year,Reg_Win,Reg_Loss,Reg_Tie,Reg_Games,Playoff_Seed,Playoff_Win,Playoff_Loss,Playoff_Games,Total_Win,Total_Loss,Total_Tie,Total_Games,Full_Ssn_Pace,Reg_Win%,Playoff_Win%,Total_Win%,Playoff_Teams
Alex,56568,216.0,181.0,3.0,400.0,49.0,8.0,13.0,21.0,224.0,194.0,3.0,421.0,25.3,54.0,38.1,53.2,13
Brandon,56568,221.0,179.0,0.0,400.0,40.0,9.0,9.0,18.0,230.0,188.0,0.0,418.0,55.3,55.2,50.0,55.0,10
Cameron,8096,4.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,8.0,35.9,50.0,,50.0,0
Dan,56568,197.0,202.0,1.0,400.0,32.0,4.0,10.0,14.0,201.0,212.0,1.0,414.0,19.6,49.2,28.6,48.6,10
JP,56568,200.0,199.0,1.0,400.0,34.0,9.0,8.0,17.0,209.0,207.0,1.0,417.0,37.099999999999994,50.0,52.9,50.1,9
Jackson,48472,209.0,183.0,0.0,392.0,35.0,11.0,9.0,20.0,220.0,192.0,0.0,412.0,0.0,53.3,55.0,53.4,11
Jordan,56568,205.0,192.0,3.0,400.0,40.0,14.0,8.0,22.0,219.0,200.0,3.0,422.0,31.2,51.2,63.6,51.9,10
Leftover,40380,100.0,222.0,2.0,324.0,17.0,5.0,3.0,8.0,105.0,225.0,2.0,332.0,0.0,30.9,62.5,31.6,4
Mike,56568,202.0,198.0,0.0,400.0,36.0,5.0,7.0,12.0,207.0,205.0,0.0,412.0,34.3,50.5,41.7,50.2,8
Victoria,16188,41.0,35.0,0.0,76.0,11.0,4.0,1.0,5.0,45.0,36.0,0.0,81.0,30.3,53.9,80.0,55.6,3
